epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,2.1046,4.8901,20.776,100.8294,-179.18734334146862
5,31.6095,35.8557,53.907,24.3691,-36.05577870142439
10,58.2645,48.0395,58.23,22.392,-16.738667345575003
15,63.5274,52.0143,59.845,20.8309,-10.357112760078174
20,64.9187,53.6475,60.726,19.785,-7.371988505615618
25,66.2824,54.7292,61.655,19.2517,-5.313647778302828
30,67.5498,55.6398,62.321,18.7783,-3.5489839517984176
35,67.853,56.2505,63.307,18.6054,-2.55378615142094
40,67.8803,56.2204,62.941,18.3581,-2.3584888016640457
45,67.8958,56.6481,63.8,18.106,-1.4849186287029936
50,68.0881,57.18,63.772,18.423,-1.6509106079243532
55,68.4241,57.6864,63.798,17.8819,-0.5582974210900948
60,68.2422,57.6487,64.085,17.8314,-0.4558451138148279
65,68.4503,58.0073,64.282,17.7935,-0.10196192294011971
70,68.3198,58.1619,64.623,17.6239,0.28458231617264956
75,68.4295,58.4142,64.523,17.6445,0.35848101067313504
80,68.4903,58.2855,64.775,17.4595,0.6875587761516911
85,68.3861,58.519,64.524,17.3721,0.7640093126768697
90,68.1656,58.6612,64.943,17.508,0.7183318871794958
95,68.2443,58.9525,64.92,17.454,0.9311013233938302
100,68.2438,58.864,64.953,17.4602,0.8997957889839592
105,68.2725,58.9494,65.002,17.3542,1.112060845683624
110,68.1067,59.1633,65.029,17.2329,1.3163154249777944
115,68.2232,59.2916,65.11,17.4655,1.1203251631411646
120,68.1488,59.1029,65.132,17.141,1.4767440232295526
125,68.3325,59.1006,64.865,17.251,1.2840563920228922
130,68.0332,59.2192,65.076,17.1629,1.4277713018000315
135,67.9555,59.4095,65.13,17.2144,1.4256947315475612
140,68.2463,59.5407,64.979,17.1341,1.6379948406155764
145,68.1674,59.3958,65.107,17.1777,1.5408195946432142
150,67.9266,59.2444,65.23,17.1308,1.5046981985982106
155,67.9935,59.4696,65.219,17.0533,1.7238999804137456
160,68.0885,59.5471,65.171,17.0962,1.711593310441242
165,68.0778,59.5044,65.228,17.1779,1.5995692379810154
170,67.9542,59.5504,65.156,17.0834,1.6747631180862237
175,68.0244,59.6585,65.031,17.1006,1.6704642232701712
180,68.1048,59.5905,65.024,16.9807,1.8369191913095158
185,67.8778,59.5388,65.084,16.9807,1.7556697526483045
190,68.0579,59.6575,65.112,17.0451,1.7922114521125652
195,67.853,59.6259,65.041,16.8904,1.8899902642754132
200,67.9075,59.5384,65.184,16.8994,1.9197571494394803
205,67.9301,59.7604,65.063,16.9074,1.9581348464353043
210,67.9531,59.62,65.112,16.8903,1.9534500302647293
215,67.8702,59.7261,65.165,16.8811,1.9994945724168802
220,67.9199,59.6065,65.283,16.7601,2.1853507565216708
225,67.7798,59.7046,65.214,16.8852,1.9711326721519997
230,67.8723,59.6388,65.207,16.7611,2.1488196297754043
235,67.85,59.6278,65.282,16.8813,1.9989332593687161
240,67.8244,59.6575,65.11,16.8322,2.000742984029722
245,67.8788,59.6476,65.041,16.9369,1.8436557887466862
250,67.8461,59.6469,65.138,16.8747,1.9566362978629515
255,67.7827,59.7133,65.294,16.7872,2.1441387368324976
260,67.876,59.6632,65.229,16.8451,2.052005478604059
265,67.8256,59.6348,65.16,16.7854,2.0771824040710887
270,67.8414,59.6668,65.195,16.8542,2.014295916267966
275,67.8662,59.6665,65.258,16.8297,2.0827448404519826
280,67.8693,59.7118,65.108,16.8037,2.0782117684014465
285,67.8452,59.72,65.163,16.8692,2.0034863488187007
290,67.8523,59.7404,65.129,16.8143,2.0771070059818095
295,67.8279,59.691,65.21,16.8319,2.0560817996493146
299,67.8298,59.6825,65.136,16.7972,2.0719609380312853
0,2.0854,4.8415,20.871,101.1728,-179.65375331993943
5,31.4167,36.2202,54.007,24.3339,-35.89128554815246
10,58.6,47.6127,58.304,22.4076,-16.778194852008877
15,63.3152,51.7934,60.035,20.8519,-10.478250246920265
20,65.0735,53.634,60.557,19.8727,-7.509629023777251
25,66.4236,54.79,62.089,19.208,-5.001768579274097
30,67.1095,55.524,62.557,18.7415,-3.613684446385375
35,67.3846,55.8608,63.06,18.7739,-3.218787052565026
40,67.8871,56.3832,63.321,18.5281,-2.3743796645500073
45,68.0193,56.8664,63.382,18.0492,-1.439438491736291
50,67.8479,57.1078,63.218,18.3069,-1.830017161921299
55,68.3197,57.4953,64.178,18.0268,-0.7234947761785341
60,68.4158,57.2229,64.363,17.975,-0.6514688894520478
65,68.1386,57.6372,63.923,17.8968,-0.65496425319568
70,68.4157,57.7842,64.313,17.6169,0.053223696980051693
75,68.06,58.3051,64.569,17.6129,0.23940343123846458
80,68.2401,58.3405,64.766,17.9203,-0.027982353328172272
85,68.3458,58.5735,64.806,17.551,0.6352039670929104
90,68.2069,58.8617,64.768,17.3862,0.9139130180722481
95,68.1615,58.8573,64.624,17.4465,0.753621062251987
100,68.1227,58.8422,64.976,17.3809,0.9654950437512889
105,68.2731,58.7864,64.988,17.3594,1.0336361781862127
110,68.2771,59.1205,65.058,17.3672,1.1872100091833377
115,68.1122,58.9618,65.021,17.2934,1.1496436575825972
120,68.273,59.1513,64.863,17.3158,1.1914387496923198
125,68.0794,59.0053,64.834,17.2655,1.1188379800127617
130,68.1156,59.2518,64.945,17.2002,1.3671634171968894
135,68.0259,59.3611,65.045,17.1311,1.514148916765889
140,68.07,59.3414,65.184,17.2271,1.4447780331584452
145,68.1522,59.3521,65.013,17.0682,1.6321715608431535
150,68.0195,59.3695,65.061,16.9644,1.7534889424452706
155,67.9995,59.1909,64.889,17.0287,1.5155318799603585
160,68.1842,59.3569,65.141,17.188,1.5306687319890515
165,68.1125,59.529,65.148,17.0404,1.781621166070276
170,68.0462,59.3639,65.232,17.0581,1.6993682892181068
175,67.8877,59.4738,65.027,17.0547,1.60730872624664
180,67.9046,59.5002,64.886,17.038,1.590949667519766
185,67.9179,59.3366,65.116,17.1172,1.5118922339655696
190,67.89,59.5719,65.1,16.9358,1.8424502447527975
195,67.9453,59.5558,64.948,16.9073,1.8352239716981744
200,67.9891,59.5232,64.97,17.0168,1.694840112836756
205,68.0063,59.6277,65.065,16.9595,1.8612303080502781
210,67.9271,59.5622,64.999,16.9016,1.85941666879089
215,67.8375,59.7098,65.093,16.9418,1.8674356085072181
220,67.8725,59.5746,65.225,16.7892,2.0911020551955763
225,67.8508,59.564,65.137,16.8858,1.90907598064683
230,67.7591,59.5843,65.091,16.807,1.9743440992580705
235,67.806,59.5892,65.098,16.9004,1.8666354089169435
240,67.7611,59.5724,65.113,16.8775,1.8810252626721586
245,67.7979,59.6305,65.017,16.9701,1.7508493989279534
250,67.8109,59.5286,65.242,16.9062,1.8936645195314592
255,67.7578,59.6089,65.251,16.8378,2.0050958834600605
260,67.8183,59.6108,65.122,16.8792,1.9190468388541937
265,67.7612,59.5717,65.167,16.8349,1.9616972895340103
270,67.7459,59.6441,65.139,16.8785,1.9133491236018267
275,67.7776,59.6509,65.101,16.8684,1.926700187083591
280,67.7602,59.6503,65.095,16.855,1.9362221345411121
285,67.7735,59.6542,65.096,16.9092,1.8677411852812815
290,67.7759,59.6617,65.085,16.8425,1.9600444807899595
295,67.7099,59.6444,65.202,16.8517,1.962624351948057
299,67.7259,59.6714,65.077,16.8207,1.9724823957329038

BEST(epoch 220),67.9199,59.6065,65.283,16.7601,2.1853507565216708
